Data,Asset,Net_NC,Net_Comm
1970-01-01 00:00:00.000230103,CAD,-26766,24541
1970-01-01 00:00:00.000230103,CHF,-2854,6431
1970-01-01 00:00:00.000230103,Soybeans,148639,-111329
1970-01-01 00:00:00.000230103,Corn,267532,-217117
1970-01-01 00:00:00.000230103,GBP,-20301,29692
1970-01-01 00:00:00.000230103,JPY,-46864,46773
1970-01-01 00:00:00.000230103,Coffee,-812,-641
1970-01-01 00:00:00.000230103,Nasdaq,1362,4177
1970-01-01 00:00:00.000230103,SPX,-167301,166552
1970-01-01 00:00:00.000230103,Cocoa,27838,-31978
1970-01-01 00:00:00.000230103,10Y UST,-383602,467443
1970-01-01 00:00:00.000230103,AUD,-36267,39595
1970-01-01 00:00:00.000230103,Sugar,228492,-273497
1970-01-01 00:00:00.000230103,Copper,-4675,-163
1970-01-01 00:00:00.000230103,Russell 2000,-65361,65079
1970-01-01 00:00:00.000230103,Gold,141666,-159974
1970-01-01 00:00:00.000230103,Crude Oil,227607,-249040
1970-01-01 00:00:00.000230103,Silver,30934,-44211
1970-01-01 00:00:00.000230103,VIX,-68000,75329
1970-01-01 00:00:00.000230103,EUR,129915,-174081
1970-01-01 00:00:00.000230103,Nikkei,-2974,2892
1970-01-01 00:00:00.000230103,BTC,389,-578
1970-01-01 00:00:00.000230103,Wheat,-32291,37636
1970-01-01 00:00:00.000230103,USD Index,17761,-20204
1970-01-01 00:00:00.000230110,Nasdaq,-8151,13928
1970-01-01 00:00:00.000230110,BTC,-594,-29
1970-01-01 00:00:00.000230110,10Y UST,-411358,488454
1970-01-01 00:00:00.000230110,Cocoa,27221,-31199
1970-01-01 00:00:00.000230110,Nikkei,-2719,2717
1970-01-01 00:00:00.000230110,Russell 2000,-58128,54539
1970-01-01 00:00:00.000230110,Crude Oil,205236,-225502
1970-01-01 00:00:00.000230110,EUR,134982,-182210
1970-01-01 00:00:00.000230110,SPX,-213174,202933
1970-01-01 00:00:00.000230110,Gold,150535,-172478
1970-01-01 00:00:00.000230110,Copper,10227,-16253
1970-01-01 00:00:00.000230110,JPY,-35377,34488
1970-01-01 00:00:00.000230110,VIX,-72807,79810
1970-01-01 00:00:00.000230110,USD Index,16540,-19280
1970-01-01 00:00:00.000230110,Corn,233795,-182611
1970-01-01 00:00:00.000230110,GBP,-29456,35268
1970-01-01 00:00:00.000230110,Silver,29013,-42925
1970-01-01 00:00:00.000230110,AUD,-33690,32210
1970-01-01 00:00:00.000230110,Sugar,187713,-232509
1970-01-01 00:00:00.000230110,CAD,-30955,27265
1970-01-01 00:00:00.000230110,Wheat,-39716,43529
1970-01-01 00:00:00.000230110,Soybeans,140328,-104166
1970-01-01 00:00:00.000230110,CHF,-7370,8206
1970-01-01 00:00:00.000230110,Coffee,-14739,11310
1970-01-01 00:00:00.000230117,Corn,271873,-213798
1970-01-01 00:00:00.000230117,GBP,-24697,31436
1970-01-01 00:00:00.000230117,CHF,-7941,11357
1970-01-01 00:00:00.000230117,CAD,-27259,27488
1970-01-01 00:00:00.000230117,Wheat,-42014,45261
1970-01-01 00:00:00.000230117,BTC,-627,337
1970-01-01 00:00:00.000230117,VIX,-52355,55595
1970-01-01 00:00:00.000230117,USD Index,13358,-15570
1970-01-01 00:00:00.000230117,JPY,-22961,18084
1970-01-01 00:00:00.000230117,Nikkei,-3825,4340
1970-01-01 00:00:00.000230117,EUR,126984,-179074
1970-01-01 00:00:00.000230117,Coffee,-26745,24251
1970-01-01 00:00:00.000230117,Crude Oil,239218,-255599
1970-01-01 00:00:00.000230117,Russell 2000,-62915,59423
1970-01-01 00:00:00.000230117,Silver,31468,-45367
1970-01-01 00:00:00.000230117,Gold,153240,-175913
1970-01-01 00:00:00.000230117,Cocoa,27698,-31155
1970-01-01 00:00:00.000230117,10Y UST,-545057,615855
1970-01-01 00:00:00.000230117,Copper,16238,-22695
1970-01-01 00:00:00.000230117,SPX,-226818,231163
1970-01-01 00:00:00.000230117,AUD,-33620,25936
1970-01-01 00:00:00.000230117,Nasdaq,-20633,30544
1970-01-01 00:00:00.000230117,Sugar,186698,-233144
1970-01-01 00:00:00.000230117,Soybeans,169065,-130790
1970-01-01 00:00:00.000230124,USD Index,15163,-17909
1970-01-01 00:00:00.000230124,Nikkei,-4712,5546
1970-01-01 00:00:00.000230124,EUR,134349,-186450
1970-01-01 00:00:00.000230124,Nasdaq,-25261,37079
1970-01-01 00:00:00.000230124,Silver,25684,-39461
1970-01-01 00:00:00.000230124,VIX,-53149,58259
1970-01-01 00:00:00.000230124,Cocoa,24941,-28978
1970-01-01 00:00:00.000230124,Wheat,-48320,50423
1970-01-01 00:00:00.000230124,Sugar,185084,-229339
1970-01-01 00:00:00.000230124,SPX,-208991,202765
1970-01-01 00:00:00.000230124,10Y UST,-541821,598839
1970-01-01 00:00:00.000230124,AUD,-33171,29706
1970-01-01 00:00:00.000230124,Coffee,-22728,20167
1970-01-01 00:00:00.000230124,Gold,157673,-180554
1970-01-01 00:00:00.000230124,Copper,20170,-26542
1970-01-01 00:00:00.000230124,GBP,-23934,27654
1970-01-01 00:00:00.000230124,Crude Oil,249799,-273246
1970-01-01 00:00:00.000230124,CAD,-30712,29159
1970-01-01 00:00:00.000230124,Soybeans,155222,-117945
1970-01-01 00:00:00.000230124,CHF,-9508,11565
1970-01-01 00:00:00.000230124,BTC,-1437,912
1970-01-01 00:00:00.000230124,Corn,277369,-205662
1970-01-01 00:00:00.000230124,Russell 2000,-67401,61283
1970-01-01 00:00:00.000230124,JPY,-21635,17145
1970-01-01 00:00:00.000230131,Nasdaq,-15858,32053
1970-01-01 00:00:00.000230131,Nikkei,-5072,5452
1970-01-01 00:00:00.000230131,SPX,-222257,234786
1970-01-01 00:00:00.000230131,AUD,-30592,23162
1970-01-01 00:00:00.000230131,Russell 2000,-63024,57143
1970-01-01 00:00:00.000230131,Silver,27316,-40434
1970-01-01 00:00:00.000230131,Wheat,-40060,41564
1970-01-01 00:00:00.000230131,Soybeans,178398,-137153
1970-01-01 00:00:00.000230131,JPY,-20060,18179
1970-01-01 00:00:00.000230131,Cocoa,25159,-27818
1970-01-01 00:00:00.000230131,10Y UST,-555471,623943
1970-01-01 00:00:00.000230131,VIX,-66918,69707
1970-01-01 00:00:00.000230131,CHF,-8314,11816
1970-01-01 00:00:00.000230131,Crude Oil,243820,-266622
1970-01-01 00:00:00.000230131,BTC,-1799,920
1970-01-01 00:00:00.000230131,USD Index,16537,-19776
1970-01-01 00:00:00.000230131,CAD,-30184,27637
1970-01-01 00:00:00.000230131,Gold,160281,-180520
1970-01-01 00:00:00.000230131,Sugar,247072,-292448
1970-01-01 00:00:00.000230131,GBP,-18317,28668
1970-01-01 00:00:00.000230131,Coffee,-1881,-926
1970-01-01 00:00:00.000230131,Corn,296812,-225622
1970-01-01 00:00:00.000230131,Copper,17215,-24414
1970-01-01 00:00:00.000230131,EUR,150509,-203589
1970-01-01 00:00:00.000230207,JPY,-29089,33346
1970-01-01 00:00:00.000230207,Silver,13531,-29679
1970-01-01 00:00:00.000230207,EUR,165038,-211746
1970-01-01 00:00:00.000230207,USD Index,12269,-15503
1970-01-01 00:00:00.000230207,VIX,-64731,71351
1970-01-01 00:00:00.000230207,Gold,128815,-152966
1970-01-01 00:00:00.000230207,10Y UST,-585900,655991
1970-01-01 00:00:00.000230207,Cocoa,22431,-23198
1970-01-01 00:00:00.000230207,Soybeans,174813,-133790
1970-01-01 00:00:00.000230207,SPX,-217545,214876
1970-01-01 00:00:00.000230207,AUD,-28105,22741
1970-01-01 00:00:00.000230207,Coffee,2084,-3039
1970-01-01 00:00:00.000230207,Copper,2505,-11187
1970-01-01 00:00:00.000230207,Sugar,235980,-282317
1970-01-01 00:00:00.000230207,Nasdaq,-14919,30152
1970-01-01 00:00:00.000230207,GBP,-14121,31346
1970-01-01 00:00:00.000230207,Corn,282350,-204425
1970-01-01 00:00:00.000230207,CAD,-33091,31946
1970-01-01 00:00:00.000230207,Russell 2000,-75146,65894
1970-01-01 00:00:00.000230207,CHF,-6368,10804
1970-01-01 00:00:00.000230207,Crude Oil,224151,-244548
1970-01-01 00:00:00.000230207,BTC,-1178,567
1970-01-01 00:00:00.000230207,Nikkei,-3112,3501
1970-01-01 00:00:00.000230207,Wheat,-46299,48915
1970-01-01 00:00:00.000230214,Nasdaq,-22824,43337
1970-01-01 00:00:00.000230214,Cocoa,28858,-33683
1970-01-01 00:00:00.000230214,USD Index,11974,-16141
1970-01-01 00:00:00.000230214,Soybeans,191886,-149773
1970-01-01 00:00:00.000230214,JPY,-27843,35769
1970-01-01 00:00:00.000230214,GBP,-19795,34015
1970-01-01 00:00:00.000230214,Corn,304712,-223604
1970-01-01 00:00:00.000230214,CHF,-7468,12082
1970-01-01 00:00:00.000230214,Crude Oil,227541,-247370
1970-01-01 00:00:00.000230214,CAD,-35494,36358
1970-01-01 00:00:00.000230214,Russell 2000,-63908,56535
1970-01-01 00:00:00.000230214,Wheat,-34124,38087
1970-01-01 00:00:00.000230214,10Y UST,-562935,661459
1970-01-01 00:00:00.000230214,Sugar,238826,-279379
1970-01-01 00:00:00.000230214,EUR,163906,-211790
1970-01-01 00:00:00.000230214,Nikkei,-2282,2407
1970-01-01 00:00:00.000230214,Silver,11506,-25822
1970-01-01 00:00:00.000230214,AUD,-28907,23735
1970-01-01 00:00:00.000230214,BTC,-783,365
1970-01-01 00:00:00.000230214,Coffee,5050,-6755
1970-01-01 00:00:00.000230214,Copper,-5511,-2302
1970-01-01 00:00:00.000230214,SPX,-246454,251135
1970-01-01 00:00:00.000230214,VIX,-56197,61511
1970-01-01 00:00:00.000230214,Gold,105529,-129072
1970-01-01 00:00:00.000230221,SPX,-234291,241153
1970-01-01 00:00:00.000230221,Wheat,-47488,47552
1970-01-01 00:00:00.000230221,Crude Oil,219671,-241297
1970-01-01 00:00:00.000230221,Coffee,12316,-14198
1970-01-01 00:00:00.000230221,Copper,2049,-8510
1970-01-01 00:00:00.000230221,Silver,9902,-23050
1970-01-01 00:00:00.000230221,AUD,-24788,25049
1970-01-01 00:00:00.000230221,BTC,-812,438
1970-01-01 00:00:00.000230221,Cocoa,46085,-51594
1970-01-01 00:00:00.000230221,Russell 2000,-54548,48858
1970-01-01 00:00:00.000230221,10Y UST,-500660,590357
1970-01-01 00:00:00.000230221,CAD,-37503,39753
1970-01-01 00:00:00.000230221,Nasdaq,-14069,34620
1970-01-01 00:00:00.000230221,Soybeans,193260,-150141
1970-01-01 00:00:00.000230221,CHF,-6520,12058
1970-01-01 00:00:00.000230221,Sugar,233338,-277742
1970-01-01 00:00:00.000230221,Gold,107101,-129355
1970-01-01 00:00:00.000230221,Corn,283023,-209635
1970-01-01 00:00:00.000230221,VIX,-56108,62408
1970-01-01 00:00:00.000230221,EUR,165068,-213818
1970-01-01 00:00:00.000230221,JPY,-34029,46889
1970-01-01 00:00:00.000230221,Nikkei,-2022,1824
1970-01-01 00:00:00.000230221,GBP,-21416,37641
1970-01-01 00:00:00.000230221,USD Index,12198,-16640
1970-01-01 00:00:00.000230228,Gold,108593,-127487
1970-01-01 00:00:00.000230228,VIX,-55296,57328
1970-01-01 00:00:00.000230228,10Y UST,-627947,728799
1970-01-01 00:00:00.000230228,SPX,-183891,184866
1970-01-01 00:00:00.000230228,Coffee,16397,-17751
1970-01-01 00:00:00.000230228,AUD,-24165,28578
1970-01-01 00:00:00.000230228,Nikkei,-2001,2109
1970-01-01 00:00:00.000230228,Silver,-54,-13152
1970-01-01 00:00:00.000230228,BTC,-599,286
1970-01-01 00:00:00.000230228,Copper,-6038,-31
1970-01-01 00:00:00.000230228,EUR,162199,-211903
1970-01-01 00:00:00.000230228,Sugar,223799,-263993
1970-01-01 00:00:00.000230228,Wheat,-66762,66129
1970-01-01 00:00:00.000230228,JPY,-58678,70521
1970-01-01 00:00:00.000230228,Russell 2000,-42831,41374
